あけの,아케노
古津,후뤁수
古船場町,후루센바마치
古謝,고자
古賀市,고가시
古里,후루사토
古間木,후루마기
古間木山,후루마기야마
只越,다다괴
台原,다이노하라
台宿,다이슈쿠
台東,다이토
台東区,다이토
台田,다이다
台町,다이마치
合生,아이오이
吉井町,요시이초
吉川町,요시카와초
吉敷町,기시키초
吉春,요시하루
吉永,요시나가
吉田郡,요시다 군
吉町,요시초
吉祥寺北町,기치조지키타마치
吉祥寺本町,기치조지혼초
吉祥寺東町,기치조지히가시초
吉祥院,기쑈인
吉竹町,요시타케마치
吉野郡,요시노군
同心町,도신초
名古屋市中区,나카
名古屋市中川区,나카가와쿠
名古屋市中村区,나카무라
名古屋市北区,기타쿠
名古屋市千種区,지쿠사쿠
名古屋市南区,미나미 쿠
名古屋市名東区,메이토 쿠
名古屋市天白区,템파쿠쿠
名古屋市守山区,모리야마 쿠
名古屋市昭和区,쇼와쿠
名古屋市東区,히가시
名古屋市港区,미나토쿠
名古屋市熱田区,앝수타 쿠
名古屋市瑞穂区,미수호쿠
名古屋市緑区,미도리 쿠
名古屋市西区,니시
名東区,메이토 쿠
名池町,메이치초
名瀬大熊,나세다이쿠마
名瀬町,나세초
名西,메이세이
名西郡,묘사이 군
名須川,나수카와
名駅,메이에키
名駅南,메이에키미나미
名高,나다카
向山東,무카이야마히가시
向山町,무카이야마초
向川原,무카이카와라
向新庄,무카이신조마치
向江,무캐
向洋町,고요초
向町,무코마치
向陽台,고요다이
吾妻通,아수마도리
吾妻郡,아같수마군
吾川郡,아가와군
呉羽町,구레하마치
周参見,수사미
周智郡,슈치군
周東町下久原,슈토마치시모쿠바라
味間,아지마
呼子町殿ノ浦,요부코초토노노우라
和久,와구
和仁,와니
和地山,와지야마
和庄,와쇼
和気郡,와케군
和泉市,이수미 시
和泉本町,이수미혼초
和泉町,이수미마치
和田町,와다초
和田町海発,와다초카이홑수
和白東,와지로히가시
和食,와지키
品川区,시나가와
品川町,시나가와초
員弁郡東員町,도인 초
唐原,도바루
唐国町,가라쿠니초
問屋町,도이야마치
善行,젠교
善部町,젠부초
喜入,기이레
喜名,기나
喜多,기타초
喜多町,기타초
喜多郡,기타
喜屋武,기얀
喜沢,기사와
喜舎場,기샤바
喜連西,기레니시
嘉山,가야마
嘉数,가카수
嘉間良,가마라
四日町,요까마치
四条,시조
四番町,욘반초
四軒家,시켄'야
四郷,요고
因原,인바라
因島土生町,인노시마하부초
図師,주시
国分南,고쿠부미나미
国分寺台,고쿠분지다이
国分町,고쿠분초
国場,고쿠바
国府台,고노다이
国府宮,고노미야
国府新宿,고쿠후신주쿠
国府本郷,고쿠후혼고
国府町,고초
国東町田深,구니사키마치타부카
国母,고쿠보
国玉通,구니타마도리
国領町,고쿠료초
国頭郡,구니가미군
国香通,구니카도리
園原,소노하라초
園田町,소노다초
園町,소노마치
土取,트수치토리마치
土屋,트수치야
土崎港中央,트수치사키미나토추오
土崎港南,트수치사키미나토미나미
土手,도테
土手内,도트치
土樋,트수치토이
土橋,트수치하시
土生町,하부초
土田,한다
在家,자이케초
地下,지게
地蔵,지소
坂ノ下,사카노시타
坂上,사카가미
坂下町,사카시타마치
坂井,사카이초
坂井市,사카이시
坂井町,사카이초
坂元,사카모토
坂田,사카다
坊島,보시마
坪生町,트수보초
垂水町,다루미초
垣内,가키우치
垣生,하부
城ケ丘,조가오카
城内,조나이
城内町,조나이초
城北町,조호쿠마치
城南町,조남마치
城堀,시로호리
城山町,시로야마초
城崎町,기노사키
城本町,시로모토마치
城東中央,조토추오
城町,시로마치
城西町,시로니시마치
城見町,시로미초
城辺,조헨
城間,조마초
埴生,하부
埴科郡,하니시나군
堀内,호리나이
堀口,호이구치
堀崎町,호리사키초
堀川小泉町,호리카와코이수미초
堀替,호리캐
堀端,호리바타
堀越,호리코시
堀込,호리고메
堂ケ芝,도가시바
堂山,도야마
堤下,트숱수미시타
堤根,트숱수미네
堤町,트숱수미마치
堰場,세키바
堺区,사카이 쿠
堺市中区,나카
堺市北区,기타쿠
堺市南区,미나미
堺市堺区,사카이 쿠
堺市東区,히가시 쿠
堺町,사카이마치
塔原東,도노하루히가시
塔野,도노
塚原,트수카노하루
塚本,트수카모토
塚本通,트수카모토도리
塚田,트수카다
塚脇,트수카와키
塚越,트수카고시
塩井,시오이
塩屋北町,시오야키타마치
塩浜町,시오하마초
塩田,시오타
塩谷郡,시오야군
塩野,시요노
境之谷,사카이노타니
境南町,교난초
境島村,사카이시마무라
境木町,사카이기초
境谷,사카이다니
増尾,마수오
増永,마수나가
増田,마수다
墨田区,수미다
壱町田,잍초다
夏見,낱수미
夕張郡,유바리군
夕葉町,유바초
外山,소토야마
外川,소토카와
外旭川,소토아사히카와
外神田,소토칸다
多久町,다쿠마치
多井,오이
多伎町久村,다키초쿠무라
多奈川谷川,다나가와타니가와
多布施,다후세
多気郡,다키군
多治米町,다지메초
多田,다다
多田桜木,다다사쿠라기
多磨町,다마초
多聞台,다몬다이
大下,오시타
大中,오나카
大串,오구시
大久保北,오쿠보키타
大久保町,오쿠보초
大久保町大窪,오쿠보초오쿠보
大久保町江井島,오쿠보초에이가시마
大京町,다이쿄초
大今里,오이마사토
大今里南,오이마사토미나미
大今里西,오이마사토니시
大住,오수미
大佐志町,오사시초
大利,오리
大利根,오토네마치
大利根町,오토네마치
大北,오키타
大南,오미나미
大原台,오하라다이
大原町,오하라초
大原野,오하라노
大口通,오구치도리
大口里,오구치사토
大和南,야마토미나미
大和田,오와다
大和田町,오와다마치
大和西,다이와니시
大堀,오보리
大堂,우후도
大塚町,옽수카초
大塚西,오수카니시
大塩,오시오
大塩町,오시오초
大宝,다이호
大宮町,오미야초
大小路,오쇼지
大屋敷,오야시키
大岡丙,오오카헤이
大岩本,오이와모토
大島町,오시마
大島郡,오시마군
大崎台,오사키다이
大川内,오카와치
大川内町丙,오카와치초헤이
大川原,오카와라
大川町,오카와초
大工町,다이쿠마치
大師町,다이시마치
大平町,오히라마치
大戸,오토
大手,오테마치
大手町,오테마치
大日,다이니치초
大曽根,오소네
大村町,오무라마치
大東町,다이토초
大東町大東,다이토초다이토
大林,오바야시
大枝,외다
大柳,다이나기
大根,다이네
大森北,오모리키타
大森町,오모리초
大槻町,옽수키마치
大横町,오요코초
大樹町,다이키 초
大橋,오하시초
大橋町,오하시초
大正町,다이쇼초
大沼町,오누마초
大沼郡,오누마군
大泉学園町,오이수미가쿠엔초
大津町木津野,옽수초키수노
大浜町,오하마마치
大浦町,오우라초
大淵,오부치
大清水,오쇼수
大滝町,오다키초
大潟町,오가타초
大牟礼,오무레
大王,다이오
大田区,오타쿠
大田町,오타초
大田町大田,오다초오다
大町西,오마치니시
大畑,오하타
大畑町,오하타마치
大畔,오구로
大矢沢,오야사와
大祝,오이와이
大福,다이후쿠
大紀町,다이키 초
大美野,오미노
大膳,다이센
大街道北,오카이도키타
大袋,오부쿠로
大西,오니시
大謝名,오자나
大谷,오야
大谷口,오타니구치
大谷場,오야바
大谷町,오타니초
大輪田,오와다
大通,오도리
大通南,오도리미나미
大道町,다이도초
大里郡,오사토군
大野原,오노하라
大鋸,다이기리
